title,company,location,salary,rating
Sr. Data Scientist,Confluence Genetics LLC,"Saint Louis, MO",,
Data Scientist,NT Concepts,"Vienna, VA",$108K - $152K (Glassdoor est.),4.0
Data Scientist (Risk),Tabby,Remote,,3.2
Data Scientist,Chubb,"Philadelphia, PA",,3.7
Data Scientist,DHL,"Westerville, OH",,3.9
Sports Data Scientist (YouTube Channel),Michael MacKelvie,United States,$20.00 - $40.00 Per Hour (Employer provided),
Data Scientist,Dropbox,United States,$129K - $196K (Employer provided),4.0
Data Scientist - Generative AI/ML/Databricks - Remote,Molina Healthcare,"Sioux City, IA",$88K - $207K (Employer provided),3.3
Data Scientist,GenuineXs LLC,Remote,,
Data Scientist II,BHG Financial,Remote,,4.2
Data Scientist,Qode,New Jersey,,4.2
Data Scientist,Liberty University,Remote,,4.0
Associate Data Scientist,Health Intelligence company LLC,United States,$100K - $165K (Employer provided),3.2
Data Scientist,Jai Infoway,Remote,,4.7
"Data Scientist, Demand Forecasting & Analysis",New York ISO,"Rensselaer, NY",$69K - $115K (Employer provided),4.2
Staff Data Scientist,Intuit,"Los Angeles, CA",$179K - $252K (Employer provided),4.4
Data Scientist,Axle Informatics,"Rockville, MD",$96K - $135K (Glassdoor est.),3.5
Machine Learning Data Scientist - Logistics Algorithms,Stitch Fix,Remote,$154K - $226K (Employer provided),3.2
Data Scientist - MID Job#480,Allen Integrated Solutions,"Washington, DC",$110K - $172K (Glassdoor est.),
Data Scientist,Fundwell,"New York, NY",$110K - $160K (Employer provided),
"Associate Data Scientist- Pricing, Homeowners",Plymouth Rock Assurance Corporation,"Boston, MA",,3.5
Data Scientist,Sleeper,Remote,$75K - $175K (Employer provided),5.0
Data Scientist,JTEC Consulting,"McLean, VA",$160K - $220K (Employer provided),5.0
Data Scientist Fall Co-Op 2025,Omya Inc.,"Cincinnati, OH",,3.3
Data Scientist,BayOne,"Sunnyvale, CA",$119K - $167K (Glassdoor est.),4.3
Data Scientist,Ceva Tiergesundheit GmbH,Kansas,,4.0
Data Scientist II,Katalyst Healthcares & Life Sciences,"Avenel, NJ",$101K - $143K (Glassdoor est.),3.5
Data Scientist I,Inventory Locator Service,"Cordova, TN",$75K - $105K (Glassdoor est.),4.1
Data Scientist – R01551285,Brillio,"Chicago, IL",$140K - $150K (Employer provided),3.9
Data Scientist (Closes 8/21/2025),Allegheny County Department of Human Services,"Pittsburgh, PA",$110K - $120K (Employer provided),3.0
